Cald's Custom Universe
SEC,East,West,,,,,,,,,,,
ACC,Atlantic,Coastal,,,,,,,,,,,
Big Ten,East,West,,,,,,,,,,,
Big 12,Sheriff,Outlaw,,,,,,,,,,,
Pac 12,North,South,,,,,,,,,,,
AAC,East,West,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
# SEC,,,,,,,,,,,,,
TEAM,SEC,West,Alabama,ALA,95,TEN,,,,,,,
TEAM,SEC,West,Texas A&M,TAMU,85,SCAR,,,,,,,
TEAM,SEC,West,LSU,LSU,85,UF,,,,,,,
TEAM,SEC,West,Auburn,AUB,85,UGA,,,,,,,
TEAM,SEC,West,Mississippi St,MSST,75,UK,,,,,,,
TEAM,SEC,West,Ole Miss,MISS,75,VAN,,,,,,,
TEAM,SEC,West,Arkansas,ARK,70,MIZ,,,,,,,
TEAM,SEC,East,Georgia,UGA,90,AUB,,,,,,,
TEAM,SEC,East,Florida,UF,90,LSU,,,,,,,
TEAM,SEC,East,Tennessee,TEN,80,ALA,,,,,,,
TEAM,SEC,East,South Carolina,SCAR,75,TAMU,,,,,,,
TEAM,SEC,East,Missouri,MIZ,75,ARK,,,,,,,
TEAM,SEC,East,Kentucky,UK,70,MSST,,,,,,,
TEAM,SEC,East,Vanderbilt,VAN,60,MISS,,,,,,,
# ACC,,,,,,,,,,,,,
TEAM,ACC,Atlantic,Clemson,CLEM,95,GT,,,,,,,
TEAM,ACC,Atlantic,Florida St,FSU,90,UM,,,,,,,
TEAM,ACC,Atlantic,Louisville,LOU,80,UVA,,,,,,,
TEAM,ACC,Atlantic,NC State,NCST,80,UNC,,,,,,,
TEAM,ACC,Atlantic,Syracuse,SYR,75,PITT,,,,,,,
TEAM,ACC,Atlantic,Boston College,BC,70,VT,,,,,,,
TEAM,ACC,Atlantic,Wake Forest,WF,60,DUKE,,,,,,,
TEAM,ACC,Coastal,Miami,UM,90,FSU,,,,,,,
TEAM,ACC,Coastal,Virginia Tech,VT,85,BC,,,,,,,
TEAM,ACC,Coastal,UNC,UNC,80,NCST,,,,,,,
TEAM,ACC,Coastal,Pittsburgh,PITT,75,SYR,,,,,,,
TEAM,ACC,Coastal,Georgia Tech,GT,75,CLEM,,,,,,,
TEAM,ACC,Coastal,Duke,DUKE,65,WF,,,,,,,
TEAM,ACC,Coastal,Virginia,UVA,60,LOU,,,,,,,
# B10,,,,,,,,,,,,,
TEAM,Big Ten,West,Wisconsin,WIS,90,MINN,,,,,,,
TEAM,Big Ten,West,Nebraska,NEB,85,IOWA,,,,,,,
TEAM,Big Ten,West,Iowa,IOWA,80,NEB,,,,,,,
TEAM,Big Ten,West,Northwestern,NW,75,ILL,,,,,,,
TEAM,Big Ten,West,Purdue,PUR,70,IND,,,,,,,
TEAM,Big Ten,West,Minnesota,MINN,65,WIS,,,,,,,
TEAM,Big Ten,West,Illinois,ILL,60,NW,,,,,,,
TEAM,Big Ten,East,Ohio State,OSU,95,MICH,,,,,,,
TEAM,Big Ten,East,Michigan,MICH,93,OSU,,,,,,,
TEAM,Big Ten,East,Penn State,PSU,90,MD,,,,,,,
TEAM,Big Ten,East,Michigan St,MSU,85,RUT,,,,,,,
TEAM,Big Ten,East,Maryland,MD,75,PSU,,,,,,,
TEAM,Big Ten,East,Indiana,IND,65,PUR,,,,,,,
TEAM,Big Ten,East,Rutgers,RUT,55,MSU,,,,,,,
# Big 12,,,,,,,,,,,,,
TEAM,Big 12,Sheriff,Texas,TEX,90,OKL,,,,,,,
TEAM,Big 12,Sheriff,Iowa State,ISU,75,BAY,,,,,,,
TEAM,Big 12,Sheriff,TCU,TCU,80,OKST,,,,,,,
TEAM,Big 12,Sheriff,Boise State,BSU,80,KSU,,,,,,,
TEAM,Big 12,Sheriff,American Samoa,SAM,25,KU,,,,,,,
TEAM,Big 12,Sheriff,Texas Tech,TTU,75,WVU,,,,,,,
TEAM,Big 12,Sheriff,Colorado St,CSU,60,WYO,,,,,,,
TEAM,Big 12,Outlaw,Baylor,BAY,70,ISU,,,,,,,
TEAM,Big 12,Outlaw,Oklahoma,OKL,95,TEX,,,,,,,
TEAM,Big 12,Outlaw,Oklahoma St,OKST,85,TCU,,,,,,,
TEAM,Big 12,Outlaw,Kansas St,KSU,80,BSU,,,,,,,
TEAM,Big 12,Outlaw,West Virginia,WVU,80,TTU,,,,,,,
TEAM,Big 12,Outlaw,Wyoming,WYO,60,CSU,,,,,,,
TEAM,Big 12,Outlaw,Kansas,KU,50,SAM,,,,,,,
# Pac 12,,,,,,,,,,,,,
TEAM,Pac 12,North,Oregon,ORE,90,UTAH,,,,,,,
TEAM,Pac 12,North,Notre Dame,ND,90,USC,,,,,,,
TEAM,Pac 12,North,Washington,WASH,85,ARIZ,,,,,,,
TEAM,Pac 12,North,Stanford,STAN,85,BYU,,,,,,,
TEAM,Pac 12,North,Washington St,WSU,75,ASU,,,,,,,
TEAM,Pac 12,North,California,CAL,70,UCLA,,,,,,,
TEAM,Pac 12,North,Oregon St,ORST,60,COLO,,,,,,,
TEAM,Pac 12,South,USC,USC,90,ND,,,,,,,
TEAM,Pac 12,South,UCLA,UCLA,85,CAL,,,,,,,
TEAM,Pac 12,South,Utah,UTAH,75,ORE,,,,,,,
TEAM,Pac 12,South,BYU,BYU,75,STAN,,,,,,,
TEAM,Pac 12,South,Arizona,ARIZ,75,WASH,,,,,,,
TEAM,Pac 12,South,Arizona St,ASU,70,WSU,,,,,,,
TEAM,Pac 12,South,Colorado,COLO,65,ORST,,,,,,,
# AAC,,,,,,,,,,,,,
TEAM,AAC,West,Houston,HOU,80,UCF,,,,,,,
TEAM,AAC,West,Memphis,MEM,75,CIN,,,,,,,
TEAM,AAC,West,SMU,SMU,70,USF,,,,,,,
TEAM,AAC,West,App State,APP,70,TROY,,,,,,,
TEAM,AAC,West,Navy,NAVY,70,ARMY,,,,,,,
TEAM,AAC,West,Tulane,TULN,60,ECU,,,,,,,
TEAM,AAC,West,Tulsa,TLSA,55,TEM,,,,,,,
TEAM,AAC,East,UCF,UCF,80,HOU,,,,,,,
TEAM,AAC,East,Cincinnati,CIN,75,MEM,,,,,,,
TEAM,AAC,East,South Florida,USF,75,SMU,,,,,,,
TEAM,AAC,East,Troy,TROY,70,APP,,,,,,,
TEAM,AAC,East,Temple,TEM,70,TLSA,,,,,,,
TEAM,AAC,East,East Carolina,ECU,65,TULN,,,,,,,
TEAM,AAC,East,Army,ARMY,75,NAVY,,,,,,,
# Coach format:,Team,Name,Age,Offense,Defense,Recruiting,Training,Off Scheme,Def Scheme,,,,
COACH,ALA,Nick Saban,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,ARIZ,Kevin Sumlin,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,ASU,Herm Edwards,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,ARK,Chad Morris,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,ARMY,Jeff Monken,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,AUB,Gus Malzahn,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,BAY,Matt Rhule,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,BSU,Bryan Harsin,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,BC,Steve Addazio,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,BYU,Kalani Sitake,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,CAL,Justin Wilcox,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,UCF,Josh Heupel,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,CIN,Luke Fickell,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,CLEM,Dabo Swinney,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,COLO,Mike MacIntyre,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,CSU,Mike Bobo,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,DUKE,David Cutcliffe,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,ECU,Scottie Montgomery,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,UF,Dan Mullen,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,FSU,Willie Taggart,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,UGA,Kirby Smart,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,GT,Paul Johnson,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,HOU,Major Applewhite,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,ILL,Lovie Smith,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,IND,Tom Allen,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,IOWA,Kirk Ferentz,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,ISU,Matt Campbell,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,KU,Les Miles,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,KSU,Chris Klieman,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,UK,Mark Stoops,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,LOU,Bobby Petrino,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,LSU,Ed Orgeron,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,MD,Mike Locksley,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,MEM,Mike Norvell,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,UM,Manny Diaz,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,MICH,Jim Harbaugh,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,MSU,Mark Dantonio,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,MINN,PJ Fleck,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,MSST,Joe Moorhead,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,MIZ,Barry Odom,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,NAVY,Ken Niumatalolo,30,55,55,55,55,Air Raid,Aggressive,,,,
COACH,NEB,Scott Frost,30,55,55,55,55,Air Raid,Aggressive,,,,
